year,league,team,wins,losses,number,name,set_url
1960,NL,St. Louis Cardinals,86,68,,,https://www.tcdb.com/ViewTeams.cfm/sid/47/1960-Topps
1960,NL,Los Angeles Dodgers,82,72,,,https://www.tcdb.com/ViewTeams.cfm/sid/47/1960-Topps
1960,NL,San Francisco Giants,79,75,,,https://www.tcdb.com/ViewTeams.cfm/sid/47/1960-Topps
1960,AL,Cleveland Indians,76,78,,,https://www.tcdb.com/ViewTeams.cfm/sid/47/1960-Topps
1960,AL,Washington Senators,73,81,,,https://www.tcdb.com/ViewTeams.cfm/sid/47/1960-Topps
1960,AL,Detroit Tigers,71,83,,,https://www.tcdb.com/ViewTeams.cfm/sid/47/1960-Topps
1960,NL,Cincinnati Reds,67,87,,,https://www.tcdb.com/ViewTeams.cfm/sid/47/1960-Topps
1960,AL,Boston Red Sox,65,89,,,https://www.tcdb.com/ViewTeams.cfm/sid/47/1960-Topps
1960,NL,Chicago Cubs,60,94,,,https://www.tcdb.com/ViewTeams.cfm/sid/47/1960-Topps
1960,NL,Philadelphia Phillies,59,95,,,https://www.tcdb.com/ViewTeams.cfm/sid/47/1960-Topps
1960,AL,Kansas City Athletics,58,96,,,https://www.tcdb.com/ViewTeams.cfm/sid/47/1960-Topps
1961,AL,New York Yankees,109,53,,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1961,AL,Detroit Tigers,101,61,,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1961,AL,Baltimore Orioles,95,67,,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1961,NL,Cincinnati Reds,93,61,,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1961,NL,Los Angeles Dodgers,89,65,,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1961,AL,Chicago White Sox,86,76,,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1961,NL,San Francisco Giants,85,69,,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1961,NL,Milwaukee Braves,83,71,,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
