name,group,year,number,price,own,lot_name,remaining_price,url,front_url,back_url
Larry Doby,vet,1952,243,62,,,62,/ViewCard.cfm/sid/26/cid/2438/1952-Topps-243-Larry-Doby,/Images/Cards/Baseball/26/26-243Fr.jpg,/Images/Cards/Baseball/26/26-243Bk.jpg
George Kell,vet,1952,246,58,,,58,/ViewCard.cfm/sid/26/cid/2441/1952-Topps-246-George-Kell,/Images/Cards/Baseball/26/26-246Fr.jpg,/Images/Cards/Baseball/26/26-246Bk.jpg
Willie Mays,bbwaa_01,1952,261,227.5,,,227.5,/ViewCard.cfm/sid/26/cid/2456/1952-Topps-261-Willie-Mays,/Images/Cards/Baseball/26/26-261Fr.jpg,/Images/Cards/Baseball/26/26-261Bk.jpg
Bob Lemon,bbwaa_12,1952,268,150,,,150,/ViewCard.cfm/sid/26/cid/2463/1952-Topps-268-Bob-Lemon,/Images/Cards/Baseball/26/26-268Fr.jpg,/Images/Cards/Baseball/26/26-268Bk.jpg
Early Wynn,bbwaa_04,1952,277,12.5,,,12.5,/ViewCard.cfm/sid/26/cid/2472/1952-Topps-277-Early-Wynn,/Images/Cards/Baseball/26/26-277Fr.jpg,/Images/Cards/Baseball/26/26-277Bk.jpg
Mickey Mantle,bbwaa_01,1952,311,4000,,,4000,/ViewCard.cfm/sid/26/cid/2506/1952-Topps-311-Mickey-Mantle,/Images/Cards/Baseball/26/26-2506RepFr.jpg,/Images/Cards/Baseball/26/26-311Bk.jpg
Jackie Robinson,bbwaa_01,1952,312,2000,,,2000,/ViewCard.cfm/sid/26/cid/2507/1952-Topps-312-Jackie-Robinson,/Images/Cards/Baseball/26/26-312Fr.jpg,/Images/Cards/Baseball/26/26-312Bk.jpg
Roy Campanella,bbwaa_05,1952,314,750,,,750,/ViewCard.cfm/sid/26/cid/2509/1952-Topps-314-Roy-Campanella,/Images/Cards/Baseball/26/26-314Fr.jpg,/Images/Cards/Baseball/26/26-314Bk.jpg
Pee Wee Reese,vet,1952,333,250,,,250,/ViewCard.cfm/sid/26/cid/2528/1952-Topps-333-Pee-Wee-Reese,/Images/Cards/Baseball/26/26-333Fr.jpg,/Images/Cards/Baseball/26/26-333Bk.jpg
Hoyt Wilhelm,bbwaa_08,1952,392,500,,,500,/ViewCard.cfm/sid/26/cid/2587/1952-Topps-392-Hoyt-Wilhelm,/Images/Cards/Baseball/26/26-392Fr.jpg,/Images/Cards/Baseball/26/26-392Bk.jpg
Eddie Mathews,bbwaa_05,1952,407,1500,,,1500,/ViewCard.cfm/sid/26/cid/2602/1952-Topps-407-Eddie-Mathews,/Images/Cards/Baseball/26/26-407Fr.jpg,/Images/Cards/Baseball/26/26-407Bk.jpg
Jackie Robinson,bbwaa_01,1953,1,456,,,456,/ViewCard.cfm/sid/29/cid/5918/1953-Topps-1-Jackie-Robinson,/Images/Cards/Baseball/29/29-1Fr.jpg,/Images/Cards/Baseball/29/29-1Bk.jpg
Roy Campanella,bbwaa_05,1953,27,125,,,125,/ViewCard.cfm/sid/29/cid/5944/1953-Topps-27-Roy-Campanella,/Images/Cards/Baseball/29/29-27Fr.jpg,/Images/Cards/Baseball/29/29-27Bk.jpg
Eddie Mathews,bbwaa_05,1953,37,129,,,129,/ViewCard.cfm/sid/29/cid/5954/1953-Topps-37-Eddie-Mathews,/Images/Cards/Baseball/29/29-37Fr.jpg,/Images/Cards/Baseball/29/29-37Bk.jpg
Enos Slaughter,vet,1953,41,18,,,18,/ViewCard.cfm/sid/29/cid/5958/1953-Topps-41-Enos-Slaughter,/Images/Cards/Baseball/29/29-41Fr.jpg,/Images/Cards/Baseball/29/29-41Bk.jpg
Bob Feller,bbwaa_01,1953,54,60,,,60,/ViewCard.cfm/sid/29/cid/5971/1953-Topps-54-Bob-Feller,/Images/Cards/Baseball/29/29-54Fr.jpg,/Images/Cards/Baseball/29/29-54Bk.jpg
Early Wynn,bbwaa_04,1953,61,50.66,,,50.66,/ViewCard.cfm/sid/29/cid/5978/1953-Topps-61-Early-Wynn,/Images/Cards/Baseball/29/29-61Fr.jpg,/Images/Cards/Baseball/29/29-61Bk.jpg
Pee Wee Reese,vet,1953,76,65,,,65,/ViewCard.cfm/sid/29/cid/5993/1953-Topps-76-Pee-Wee-Reese,/Images/Cards/Baseball/29/29-76Fr.jpg,/Images/Cards/Baseball/29/29-76Bk.jpg
Johnny Mize,vet,1953,77,40,,,40,/ViewCard.cfm/sid/29/cid/5994/1953-Topps-77-Johnny-Mize,/Images/Cards/Baseball/29/29-77Fr.jpg,/Images/Cards/Baseball/29/29-77Bk.jpg
Red Schoendienst,vet,1953,78,45,,,45,/ViewCard.cfm/sid/29/cid/5995/1953-Topps-78-Red-Schoendienst,/Images/Cards/Baseball/29/29-78Fr.jpg,/Images/Cards/Baseball/29/29-78Bk.jpg
Mickey Mantle,bbwaa_01,1953,82,2000,,,2000,/ViewCard.cfm/sid/29/cid/5999/1953-Topps-82-Mickey-Mantle,/Images/Cards/Baseball/29/29-5999RepFr.jpg,/Images/Cards/Baseball/29/29-5999RepBk.jpg
Yogi Berra,bbwaa_02,1953,104,65,,,65,/ViewCard.cfm/sid/29/cid/6021/1953-Topps-104-Yogi-Berra,/Images/Cards/Baseball/29/29-104Fr.jpg,/Images/Cards/Baseball/29/29-104Bk.jpg
Phil Rizzuto,vet,1953,114,94.5,,,94.5,/ViewCard.cfm/sid/29/cid/6031/1953-Topps-114-Phil-Rizzuto,/Images/Cards/Baseball/29/29-114Fr.jpg,/Images/Cards/Baseball/29/29-114Bk.jpg
George Kell,vet,1953,138,40,,,40,/ViewCard.cfm/sid/29/cid/6055/1953-Topps-138-George-Kell,/Images/Cards/Baseball/29/29-138Fr.jpg,/Images/Cards/Baseball/29/29-138Bk.jpg
Warren Spahn,bbwaa_01,1953,147,100,,,100,/ViewCard.cfm/sid/29/cid/6064/1953-Topps-147-Warren-Spahn,/Images/Cards/Baseball/29/29-147Fr.jpg,/Images/Cards/Baseball/29/29-147Bk.jpg
Hoyt Wilhelm,bbwaa_08,1953,151,37.5,,,37.5,/ViewCard.cfm/sid/29/cid/6068/1953-Topps-151-Hoyt-Wilhelm,/Images/Cards/Baseball/29/29-151Fr.jpg,/Images/Cards/Baseball/29/29-151Bk.jpg
Ralph Kiner,bbwaa_13,1953,191,24.5,,,24.5,/ViewCard.cfm/sid/29/cid/6108/1953-Topps-191-Ralph-Kiner,/Images/Cards/Baseball/29/29-191Fr.jpg,/Images/Cards/Baseball/29/29-191Bk.jpg
Whitey Ford,bbwaa_02,1953,207,129,,,129,/ViewCard.cfm/sid/29/cid/6124/1953-Topps-207-Whitey-Ford,/Images/Cards/Baseball/29/29-207Fr.jpg,/Images/Cards/Baseball/29/29-207Bk.jpg
Hal Newhouser,vet,1953,228,116,,,116,/ViewCard.cfm/sid/29/cid/6145/1953-Topps-228-Hal-Newhouser,/Images/Cards/Baseball/29/29-228Fr.jpg,/Images/Cards/Baseball/29/29-228Bk.jpg
Willie Mays,bbwaa_01,1953,244,1000,,,1000,/ViewCard.cfm/sid/29/cid/6161/1953-Topps-244-Willie-Mays,/Images/Cards/Baseball/29/29-244Fr.jpg,/Images/Cards/Baseball/29/29-244Bk.jpg
Ted Williams,bbwaa_01,1954,1,220.5,,,220.5,/ViewCard.cfm/sid/33/cid/6192/1954-Topps-1-Ted-Williams,/Images/Cards/Baseball/33/33-1Fr.jpg,/Images/Cards/Baseball/33/33-1Bk.jpg
Jackie Robinson,bbwaa_01,1954,10,246,,,246,/ViewCard.cfm/sid/33/cid/6201/1954-Topps-10-Jackie-Robinson,/Images/Cards/Baseball/33/33-10Fr.jpg,/Images/Cards/Baseball/33/33-10Bk.jpg
Phil Rizzuto,vet,1954,17,61,,,61,/ViewCard.cfm/sid/33/cid/6208/1954-Topps-17-Phil-Rizzuto,/Images/Cards/Baseball/33/33-17Fr.jpg,/Images/Cards/Baseball/33/33-17Bk.jpg
Warren Spahn,bbwaa_01,1954,20,60,,,60,/ViewCard.cfm/sid/33/cid/6211/1954-Topps-20-Warren-Spahn,/Images/Cards/Baseball/33/33-20Fr.jpg,/Images/Cards/Baseball/33/33-20Bk.jpg
Eddie Mathews,bbwaa_05,1954,30,29.01,,,29.01,/ViewCard.cfm/sid/33/cid/6221/1954-Topps-30-Eddie-Mathews,/Images/Cards/Baseball/33/33-30Fr.jpg,/Images/Cards/Baseball/33/33-30Bk.jpg
Duke Snider,bbwaa_11,1954,32,96,,,96,/ViewCard.cfm/sid/33/cid/6223/1954-Topps-32-Duke-Snider,/Images/Cards/Baseball/33/33-32Fr.jpg,/Images/Cards/Baseball/33/33-32Bk.jpg
Hoyt Wilhelm,bbwaa_08,1954,36,15,,,15,/ViewCard.cfm/sid/33/cid/6227/1954-Topps-36-Hoyt-Wilhelm,/Images/Cards/Baseball/33/33-36Fr.jpg,/Images/Cards/Baseball/33/33-36Bk.jpg
Whitey Ford,bbwaa_02,1954,37,114,,,114,/ViewCard.cfm/sid/33/cid/6228/1954-Topps-37-Whitey-Ford,/Images/Cards/Baseball/33/33-37Fr.jpg,/Images/Cards/Baseball/33/33-37Bk.jpg
Richie Ashburn,vet,1954,45,46,,,46,/ViewCard.cfm/sid/33/cid/6236/1954-Topps-45-Richie-Ashburn,/Images/Cards/Baseball/33/33-45Fr.jpg,/Images/Cards/Baseball/33/33-45Bk.jpg
Yogi Berra,bbwaa_02,1954,50,206,,,206,/ViewCard.cfm/sid/33/cid/6241/1954-Topps-50-Yogi-Berra,/Images/Cards/Baseball/33/33-50Fr.jpg,/Images/Cards/Baseball/33/33-50Bk.jpg
Larry Doby,vet,1954,70,22,,,22,/ViewCard.cfm/sid/33/cid/6261/1954-Topps-70-Larry-Doby,/Images/Cards/Baseball/33/33-70Fr.jpg,/Images/Cards/Baseball/33/33-70Bk.jpg
Willie Mays,bbwaa_01,1954,90,294.99,,,294.99,/ViewCard.cfm/sid/33/cid/6281/1954-Topps-90-Willie-Mays,/Images/Cards/Baseball/33/33-90Fr.jpg,/Images/Cards/Baseball/33/33-90Bk.jpg
Ernie Banks,bbwaa_01,1954,94,886,,,886,/ViewCard.cfm/sid/33/cid/6285/1954-Topps-94-Ernie-Banks,/Images/Cards/Baseball/33/33-6285RepFr.jpg,/Images/Cards/Baseball/33/33-6285RepBk.jpg
Hank Aaron,bbwaa_01,1954,128,526,,,526,/ViewCard.cfm/sid/33/cid/6319/1954-Topps-128-Hank-Aaron,/Images/Cards/Baseball/33/33-6319RepFr.jpg,/Images/Cards/Baseball/33/33-6319RepBk.jpg
Al Kaline,bbwaa_01,1954,201,467,,,467,/ViewCard.cfm/sid/33/cid/6392/1954-Topps-201-Al-Kaline,/Images/Cards/Baseball/33/33-201Fr.jpg,/Images/Cards/Baseball/33/33-201Bk.jpg
Ted Williams,bbwaa_01,1955,2,212,,,212,/ViewCard.cfm/sid/36/cid/6443/1955-Topps-2-Ted-Williams,/Images/Cards/Baseball/36/36-2Fr.jpg,/Images/Cards/Baseball/36/36-2Bk.jpg
Al Kaline,bbwaa_01,1955,4,89,,,89,/ViewCard.cfm/sid/36/cid/6445/1955-Topps-4-Al-Kaline,/Images/Cards/Baseball/36/36-4Fr.jpg,/Images/Cards/Baseball/36/36-4Bk.jpg
Hal Newhouser,vet,1955,24,6,,,6,/ViewCard.cfm/sid/36/cid/6465/1955-Topps-24-Hal-Newhouser,/Images/Cards/Baseball/36/36-24Fr.jpg,/Images/Cards/Baseball/36/36-24Bk.jpg
Ernie Banks,bbwaa_01,1955,28,89.99,,,89.99,/ViewCard.cfm/sid/36/cid/6469/1955-Topps-28-Ernie-Banks,/Images/Cards/Baseball/36/36-6469RepFr.jpg,/Images/Cards/Baseball/36/36-6469RepBk.jpg
Warren Spahn,bbwaa_01,1955,31,41,,,41,/ViewCard.cfm/sid/36/cid/6472/1955-Topps-31-Warren-Spahn,/Images/Cards/Baseball/36/36-31Fr.jpg,/Images/Cards/Baseball/36/36-31Bk.jpg
Hank Aaron,bbwaa_01,1955,47,229.5,,,229.5,/ViewCard.cfm/sid/36/cid/6488/1955-Topps-47-Hank-Aaron,/Images/Cards/Baseball/36/36-47Fr.jpg,/Images/Cards/Baseball/36/36-47Bk.jpg
Jackie Robinson,bbwaa_01,1955,50,250,,,250,/ViewCard.cfm/sid/36/cid/6491/1955-Topps-50-Jackie-Robinson,/Images/Cards/Baseball/36/36-6491RepFr.jpg,/Images/Cards/Baseball/36/36-6491RepBk.jpg
Sandy Koufax,bbwaa_01,1955,123,480,,,480,/ViewCard.cfm/sid/36/cid/6564/1955-Topps-123-,/Images/Cards/Baseball/36/36-6564RepFr.jpg,/Images/Cards/Baseball/36/36-6564RepBk.jpg
Harmon Killebrew,bbwaa_04,1955,124,282,,,282,/ViewCard.cfm/sid/36/cid/6565/1955-Topps-124-Harmon-Killebrew,/Images/Cards/Baseball/36/36-124Fr.jpg,/Images/Cards/Baseball/36/36-124Bk.jpg
Eddie Mathews,bbwaa_05,1955,155,44,,,44,/ViewCard.cfm/sid/36/cid/6596/1955-Topps-155-Eddie-Mathews,/Images/Cards/Baseball/36/36-155Fr.jpg,/Images/Cards/Baseball/36/36-155Bk.jpg
Roberto Clemente,bbwaa_01,1955,164,1000,,,1000,/ViewCard.cfm/sid/36/cid/6605/1955-Topps-164-Roberto-Clemente,/Images/Cards/Baseball/36/36-6605RepFr.jpg,/Images/Cards/Baseball/36/36-6605RepBk.jpg
Phil Rizzuto,vet,1955,189,103,,,103,/ViewCard.cfm/sid/36/cid/6628/1955-Topps-189-Phil-Rizzuto,/Images/Cards/Baseball/36/36-189Fr.jpg,/Images/Cards/Baseball/36/36-189Bk.jpg
Willie Mays,bbwaa_01,1955,194,318.5,,,318.5,/ViewCard.cfm/sid/36/cid/6633/1955-Topps-194-Willie-Mays,/Images/Cards/Baseball/36/36-194Fr.jpg,/Images/Cards/Baseball/36/36-194Bk.jpg
Yogi Berra,bbwaa_02,1955,198,100,,,100,/ViewCard.cfm/sid/36/cid/6637/1955-Topps-198-Yogi-Berra,/Images/Cards/Baseball/36/36-198Fr.jpg,/Images/Cards/Baseball/36/36-198Bk.jpg
Duke Snider,bbwaa_11,1955,210,200,,,200,/ViewCard.cfm/sid/36/cid/6647/1955-Topps-210-Duke-Snider,/Images/Cards/Baseball/36/36-210Fr.jpg,/Images/Cards/Baseball/36/36-210Bk.jpg
Ted Williams,bbwaa_01,1956,5,400,,,400,/ViewCard.cfm/sid/37/cid/7850698/1956-Topps-5-Ted-Williams,/Images/Cards/Baseball/37/37-2016296118Fr.jpg,/Images/Cards/Baseball/37/37-2016296118RepBk.jpg
Warren Spahn,bbwaa_01,1956,10,73,,,73,/ViewCard.cfm/sid/37/cid/6657/1956-Topps-10-Warren-Spahn,/Images/Cards/Baseball/37/37-10Fr.jpg,/Images/Cards/Baseball/37/37-6657RepBk.jpg
Ernie Banks,bbwaa_01,1956,15,64.84,,,64.84,/ViewCard.cfm/sid/37/cid/7850704/1956-Topps-15-Ernie-Banks-,/Images/Cards/Baseball/37/37-2016296124Fr.jpg,/Images/Cards/Baseball/37/37-2016296124Bk.jpg
Al Kaline,bbwaa_01,1956,20,46.13,,,46.13,/ViewCard.cfm/sid/37/cid/7850345/1956-Topps-20-Al-Kaline,/Images/Cards/Baseball/37/37-2016295765Fr.jpg,/Images/Cards/Baseball/37/37-2016295765Bk.jpg
Jackie Robinson,bbwaa_01,1956,30,150,,,150,/ViewCard.cfm/sid/37/cid/6679/1956-Topps-30-Jackie-Robinson,/Images/Cards/Baseball/37/37-6679RepFr.jpg,/Images/Cards/Baseball/37/37-6679RepBk.jpg
Hank Aaron,bbwaa_01,1956,31,102.5,,,102.5,/ViewCard.cfm/sid/37/cid/7851091/1956-Topps-31-Hank-Aaron,/Images/Cards/Baseball/37/37-2016296511Fr.jpg,/Images/Cards/Baseball/37/37-2016296511Bk.jpg
Roberto Clemente,bbwaa_01,1956,33,314,,,314,/ViewCard.cfm/sid/37/cid/7851097/1956-Topps-33-Roberto-Clemente-,/Images/Cards/Baseball/37/37-2016296517Fr.jpg,/Images/Cards/Baseball/37/37-2016296517Bk.jpg
Sandy Koufax,bbwaa_01,1956,79,227.5,,,227.5,/ViewCard.cfm/sid/37/cid/8826128/1956-Topps-79-Sandy-Koufax,/Images/Cards/Baseball/37/37-8826128Fr.jpg,/Images/Cards/Baseball/37/37-8826128Bk.jpg
Roy Campanella,bbwaa_05,1956,101,65,,,65,/ViewCard.cfm/sid/37/cid/6760/1956-Topps-101-Roy-Campanella,/Images/Cards/Baseball/37/37-101Fr.jpg,/Images/Cards/Baseball/37/37-101Bk.jpg
Enos Slaughter,vet,1956,109,15,,,15,/ViewCard.cfm/sid/37/cid/8826102/1956-Topps-109-Enos-Slaughter,/Images/Cards/Baseball/37/37-8826102Fr.jpg,/Images/Cards/Baseball/37/37-8826102Bk.jpg
Robin Roberts,bbwaa_04,1956,180,12.5,,,12.5,/ViewCard.cfm/sid/37/cid/7850702/1956-Topps-180-Robin-Roberts,/Images/Cards/Baseball/37/37-2016296122RepFr.jpg,/Images/Cards/Baseball/37/37-2016296122Bk.jpg
Early Wynn,bbwaa_04,1956,187,16,,,16,/ViewCard.cfm/sid/37/cid/6846/1956-Topps-187-Early-Wynn,/Images/Cards/Baseball/37/37-187Fr.jpg,/Images/Cards/Baseball/37/37-187Bk.jpg
George Kell,vet,1956,195,13.25,,,13.25,/ViewCard.cfm/sid/37/cid/6854/1956-Topps-195-George-Kell,/Images/Cards/Baseball/37/37-195Fr.jpg,/Images/Cards/Baseball/37/37-195Bk.jpg
Bob Feller,bbwaa_01,1956,200,67,,,67,/ViewCard.cfm/sid/37/cid/6859/1956-Topps-200-Bob-Feller,/Images/Cards/Baseball/37/37-200Fr.jpg,/Images/Cards/Baseball/37/37-200Bk.jpg
Whitey Ford,bbwaa_02,1956,240,77.75,,,77.75,/ViewCard.cfm/sid/37/cid/6899/1956-Topps-240-Whitey-Ford,/Images/Cards/Baseball/37/37-240Fr.jpg,/Images/Cards/Baseball/37/37-240Bk.jpg
Larry Doby,vet,1956,250,14.5,,,14.5,/ViewCard.cfm/sid/37/cid/6909/1956-Topps-250-Larry-Doby,/Images/Cards/Baseball/37/37-250Fr.jpg,/Images/Cards/Baseball/37/37-250Bk.jpg
Bob Lemon,bbwaa_12,1956,255,15,,,15,/ViewCard.cfm/sid/37/cid/6914/1956-Topps-255-Bob-Lemon,/Images/Cards/Baseball/37/37-255Fr.jpg,/Images/Cards/Baseball/37/37-255Bk.jpg
Pee Wee Reese,vet,1956,260,81,,,81,/ViewCard.cfm/sid/37/cid/6919/1956-Topps-260-,/Images/Cards/Baseball/37/37-260Fr.jpg,/Images/Cards/Baseball/37/37-260Bk.jpg
Luis Aparicio,bbwaa_06,1956,292,60,,,60,/ViewCard.cfm/sid/37/cid/6951/1956-Topps-292-Luis-Aparicio,/Images/Cards/Baseball/37/37-292Fr.jpg,/Images/Cards/Baseball/37/37-292Bk.jpg
Hoyt Wilhelm,bbwaa_08,1956,307,19,,,19,/ViewCard.cfm/sid/37/cid/6966/1956-Topps-307-Hoyt-Wilhelm,/Images/Cards/Baseball/37/37-307Fr.jpg,/Images/Cards/Baseball/37/37-307Bk.jpg
Eddie Mathews,bbwaa_05,1956,107b,48,,,48,/ViewCard.cfm/sid/37/cid/6766/1956-Topps-107b-Eddie-Mathews,/Images/Cards/Baseball/37/37-107Fr.jpg,/Images/Cards/Baseball/37/37-107Bk.jpg
Yogi Berra,bbwaa_02,1956,110b,83,,,83,/ViewCard.cfm/sid/37/cid/6769/1956-Topps-110b-Yogi-Berra,/Images/Cards/Baseball/37/37-110Fr.jpg,/Images/Cards/Baseball/37/37-110Bk.jpg
Phil Rizzuto,vet,1956,113b,70,,,70,/ViewCard.cfm/sid/37/cid/6772/1956-Topps-113b-Phil-Rizzuto,/Images/Cards/Baseball/37/37-113Fr.jpg,/Images/Cards/Baseball/37/37-113Bk.jpg
Nellie Fox,vet,1956,118b,23,,,23,/ViewCard.cfm/sid/37/cid/6777/1956-Topps-118b-Nellie-Fox,/Images/Cards/Baseball/37/37-118Fr.jpg,/Images/Cards/Baseball/37/37-118Bk.jpg
Richie Ashburn,vet,1956,120b,33,,,33,/ViewCard.cfm/sid/37/cid/6779/1956-Topps-120b-Richie-Ashburn,/Images/Cards/Baseball/37/37-120Fr.jpg,/Images/Cards/Baseball/37/37-120Bk.jpg
Willie Mays,bbwaa_01,1956,130b,100,,,100,/ViewCard.cfm/sid/37/cid/6789/1956-Topps-130b-Willie-Mays,/Images/Cards/Baseball/37/37-130Fr.jpg,/Images/Cards/Baseball/37/37-130Bk.jpg
Mickey Mantle,bbwaa_01,1956,135b,620,,,620,/ViewCard.cfm/sid/37/cid/7850686/1956-Topps-135b-Mickey-Mantle,/Images/Cards/Baseball/37/37-7850686RepFr.jpg,/Images/Cards/Baseball/37/37-7850686RepBk.jpg
Duke Snider,bbwaa_11,1956,150b,35.25,,,35.25,/ViewCard.cfm/sid/37/cid/7851089/1956-Topps-150b-Duke-Snider-,/Images/Cards/Baseball/37/37-2016296509Fr.jpg,/Images/Cards/Baseball/37/37-2016296509Bk.jpg
Harmon Killebrew,bbwaa_04,1956,164a,28,,,28,/ViewCard.cfm/sid/37/cid/7981787/1956-Topps-164a-Harmon-Killebrew,/Images/Cards/Baseball/37/37-2062693077Fr.jpg,/Images/Cards/Baseball/37/37-2062693077Bk.jpg
Red Schoendienst,vet,1956,165b,18,,,18,/ViewCard.cfm/sid/37/cid/6824/1956-Topps-165b-Red-Schoendienst,/Images/Cards/Baseball/37/37-165Fr.jpg,/Images/Cards/Baseball/37/37-165Bk.jpg
Ted Williams,bbwaa_01,1957,1,100,,,100,/ViewCard.cfm/sid/38/cid/7002/1957-Topps-1-Ted-Williams,/Images/Cards/Baseball/38/38-1Fr.jpg,/Images/Cards/Baseball/38/38-1Bk.jpg
Yogi Berra,bbwaa_02,1957,2,200,,,200,/ViewCard.cfm/sid/38/cid/7003/1957-Topps-2-Yogi-Berra,/Images/Cards/Baseball/38/38-7003RepFr.jpg,/Images/Cards/Baseball/38/38-7003RepBk.jpg
Luis Aparicio,bbwaa_06,1957,7,19,,,19,/ViewCard.cfm/sid/38/cid/7008/1957-Topps-7-Luis-Aparicio,/Images/Cards/Baseball/38/38-7Fr.jpg,/Images/Cards/Baseball/38/38-7Bk.jpg
Willie Mays,bbwaa_01,1957,10,177.5,,,177.5,/ViewCard.cfm/sid/38/cid/7011/1957-Topps-10-Willie-Mays,/Images/Cards/Baseball/38/38-10Fr.jpg,/Images/Cards/Baseball/38/38-10Bk.jpg
Robin Roberts,bbwaa_04,1957,15,12,,,12,/ViewCard.cfm/sid/38/cid/7016/1957-Topps-15-Robin-Roberts,/Images/Cards/Baseball/38/38-15Fr.jpg,/Images/Cards/Baseball/38/38-15Bk.jpg
Don Drysdale,bbwaa_10,1957,18,145,,,145,/ViewCard.cfm/sid/38/cid/7019/1957-Topps-18-Don-Drysdale,/Images/Cards/Baseball/38/38-7019RepFr.jpg,/Images/Cards/Baseball/38/38-7019RepBk.jpg
Hank Aaron,bbwaa_01,1957,20,150,,,150,/ViewCard.cfm/sid/38/cid/7021/1957-Topps-20-Hank-Aaron,/Images/Cards/Baseball/38/38-20Fr.jpg,/Images/Cards/Baseball/38/38-20Bk.jpg
Bill Mazeroski,vet,1957,24,55,,,55,/ViewCard.cfm/sid/38/cid/7025/1957-Topps-24-Bill-Mazeroski,/Images/Cards/Baseball/38/38-24Fr.jpg,/Images/Cards/Baseball/38/38-24Bk.jpg
Whitey Ford,bbwaa_02,1957,25,74,,,74,/ViewCard.cfm/sid/38/cid/7026/1957-Topps-25-Whitey-Ford,/Images/Cards/Baseball/38/38-25Fr.jpg,/Images/Cards/Baseball/38/38-25Bk.jpg
Pee Wee Reese,vet,1957,30,56,,,56,/ViewCard.cfm/sid/38/cid/7031/1957-Topps-30-Pee-Wee-Reese,/Images/Cards/Baseball/38/38-30Fr.jpg,/Images/Cards/Baseball/38/38-30Bk.jpg
Frank Robinson,bbwaa_01,1957,35,161.5,,,161.5,/ViewCard.cfm/sid/38/cid/7036/1957-Topps-35-Frank-Robinson,/Images/Cards/Baseball/38/38-35Fr.jpg,/Images/Cards/Baseball/38/38-35Bk.jpg
Nellie Fox,vet,1957,38,32.06,,,32.06,/ViewCard.cfm/sid/38/cid/7039/1957-Topps-38-Nellie-Fox,/Images/Cards/Baseball/38/38-38Fr.jpg,/Images/Cards/Baseball/38/38-38Bk.jpg
Early Wynn,bbwaa_04,1957,40,16,,,16,/ViewCard.cfm/sid/38/cid/7041/1957-Topps-40-Early-Wynn,/Images/Cards/Baseball/38/38-40Fr.jpg,/Images/Cards/Baseball/38/38-40Bk.jpg
Ernie Banks,bbwaa_01,1957,55,47,,,47,/ViewCard.cfm/sid/38/cid/7056/1957-Topps-55-Ernie-Banks,/Images/Cards/Baseball/38/38-55Fr.jpg,/Images/Cards/Baseball/38/38-55Bk.jpg
Richie Ashburn,vet,1957,70,10,,,10,/ViewCard.cfm/sid/38/cid/7071/1957-Topps-70-Richie-Ashburn,/Images/Cards/Baseball/38/38-70Fr.jpg,/Images/Cards/Baseball/38/38-70Bk.jpg
